idx,x,y,z,heading_deg,gimbal_pitch_deg,action
0,-15.856229561260733,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
1,-7.520229561260734,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
2,0.8157704387392641,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
3,9.151770438739263,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
4,17.48777043873926,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
5,25.82377043873926,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
6,34.15977043873926,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
7,42.49577043873926,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
8,50.831770438739255,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
9,59.167770438739254,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
10,67.50377043873925,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
11,75.83977043873925,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
12,84.17577043873925,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
13,92.51177043873923,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
14,100.84777043873925,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
15,109.18377043873923,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
16,117.51977043873924,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
17,125.85577043873923,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
18,134.19177043873924,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
19,142.52777043873922,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
20,150.8637704387392,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
21,159.19977043873922,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
22,167.53577043873923,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
23,175.87177043873922,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
24,184.2077704387392,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
25,192.54377043873922,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
26,200.87977043873923,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
27,209.2157704387392,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
28,217.5517704387392,-2.622000000000007,222.66233766233765,0.0,-90.0,photo
29,217.61148618652112,16.133999999999993,222.66233766233765,180.0,-90.0,photo
30,209.27548618652114,16.133999999999993,222.66233766233765,180.0,-90.0,photo
31,200.93948618652115,16.133999999999993,222.66233766233765,180.0,-90.0,photo
32,192.60348618652114,16.133999999999993,222.66233766233765,180.0,-90.0,photo
33,184.26748618652113,16.133999999999993,222.66233766233762,180.0,-90.0,photo
34,175.93148618652114,16.133999999999993,222.66233766233765,180.0,-90.0,photo
35,167.59548618652116,16.133999999999993,222.66233766233765,180.0,-90.0,photo
36,159.25948618652114,16.133999999999993,222.66233766233765,180.0,-90.0,photo
37,150.92348618652113,16.133999999999993,222.66233766233762,180.0,-90.0,photo
38,142.58748618652115,16.133999999999993,222.66233766233765,180.0,-90.0,photo
39,134.25148618652116,16.133999999999993,222.66233766233762,180.0,-90.0,photo
40,125.91548618652115,16.133999999999993,222.66233766233762,180.0,-90.0,photo
41,117.57948618652115,16.133999999999993,222.66233766233765,180.0,-90.0,photo
42,109.24348618652115,16.133999999999993,222.66233766233765,180.0,-90.0,photo
43,100.90748618652115,16.133999999999993,222.66233766233765,180.0,-90.0,photo
44,92.57148618652116,16.133999999999993,222.66233766233765,180.0,-90.0,photo
45,84.23548618652116,16.133999999999993,222.66233766233762,180.0,-90.0,photo
46,75.89948618652116,16.133999999999993,222.66233766233765,180.0,-90.0,photo
47,67.56348618652117,16.133999999999993,222.66233766233765,180.0,-90.0,photo
48,59.22748618652117,16.133999999999993,222.66233766233765,180.0,-90.0,photo
49,50.89148618652117,16.133999999999993,222.66233766233765,180.0,-90.0,photo
50,42.55548618652117,16.133999999999993,222.66233766233765,180.0,-90.0,photo
51,34.21948618652117,16.133999999999993,222.66233766233765,180.0,-90.0,photo
52,25.883486186521175,16.133999999999993,222.66233766233762,180.0,-90.0,photo
53,17.547486186521176,16.133999999999993,222.66233766233765,180.0,-90.0,photo
54,9.211486186521185,16.133999999999993,222.66233766233765,180.0,-90.0,photo
55,0.8754861865211865,16.133999999999993,222.66233766233765,180.0,-90.0,photo
56,-7.460513813478812,16.133999999999993,222.66233766233765,180.0,-90.0,photo
57,-15.281147806303679,34.88999999999999,222.66233766233765,0.0,-90.0,photo
58,-6.94514780630368,34.88999999999999,222.66233766233765,0.0,-90.0,photo
59,1.3908521936963183,34.88999999999999,222.66233766233768,0.0,-90.0,photo
60,9.726852193696317,34.88999999999999,222.66233766233765,0.0,-90.0,photo
61,18.062852193696315,34.88999999999999,222.66233766233765,0.0,-90.0,photo
62,26.398852193696314,34.88999999999999,222.66233766233765,0.0,-90.0,photo
63,34.73485219369631,34.88999999999999,222.66233766233762,0.0,-90.0,photo
64,43.07085219369631,34.88999999999999,222.66233766233765,0.0,-90.0,photo
65,51.40685219369631,34.88999999999999,222.66233766233765,0.0,-90.0,photo
66,59.74285219369631,34.88999999999999,222.66233766233765,0.0,-90.0,photo
67,68.0788521936963,34.88999999999999,222.66233766233765,0.0,-90.0,photo
68,76.4148521936963,34.88999999999999,222.66233766233765,0.0,-90.0,photo
